Ref,Val,Package,PosX,PosY,Rot,Side
"C17","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.115000,-78.105000,90.000000,bottom
"C18","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.655000,-78.105000,90.000000,bottom
"C19","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.195000,-78.105000,90.000000,bottom
"C20","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.735000,-78.105000,90.000000,bottom
"C21","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.275000,-78.105000,90.000000,bottom
"C22","NL","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.815000,-78.105000,90.000000,bottom
"D1","CDBW140-G","D_SOD-123",158.100111,-86.930252,90.000000,bottom
"D2","CDBW140-G","D_SOD-123",160.640111,-86.930252,90.000000,bottom
"D3","CDBW140-G","D_SOD-123",163.180111,-86.930252,90.000000,bottom
"D5","CDBW140-G","D_SOD-123",165.720111,-86.930252,90.000000,bottom
"D6","CDBW140-G","D_SOD-123",168.260111,-86.930252,90.000000,bottom
"D7","CDBW140-G","D_SOD-123",170.800111,-86.930252,90.000000,bottom
"D23","D_Zener","D_SOD-123",170.815000,-29.897665,90.000000,bottom
"D26","D_Zener","D_SOD-123",168.230793,-29.845000,90.000000,bottom
"D28","D_Zener","D_SOD-123",165.714922,-29.872996,90.000000,bottom
"D30","D_Zener","D_SOD-123",153.035000,-29.845000,90.000000,bottom
"D32","D_Zener","D_SOD-123",148.985325,-29.856870,90.000000,bottom
"D34","D_Zener","D_SOD-123",146.336324,-29.830756,90.000000,bottom
"D36","D_Zener","D_SOD-123",163.195000,-29.845000,90.000000,bottom
"D38","D_Zener","D_SOD-123",160.643333,-29.845000,90.000000,bottom
"D40","D_Zener","D_SOD-123",158.115000,-29.845000,90.000000,bottom
"D42","D_Zener","D_SOD-123",143.807990,-29.837878,90.000000,bottom
"D44","D_Zener","D_SOD-123",141.324290,-29.837080,90.000000,bottom
"D46","D_Zener","D_SOD-123",138.792395,-29.837080,90.000000,bottom
"D48","D_Zener","D_SOD-123",155.532573,-29.835606,90.000000,bottom
"D50","D_Zener","D_SOD-123",136.308574,-29.822134,90.000000,bottom
